# Omega_m, Omega_b, h, n_s, sigma_8
2.792161677032709566e-01 3.455425824970007054e-02 6.125405691564083099e-01 9.595254633575678316e-01 6.476548846811055471e-01
2.970679394900799242e-01 6.718346800655126960e-02 8.731324609369039980e-01 1.005215061828494072e+00 9.714221626520156416e-01
3.967784963548183219e-01 3.311416815966367749e-02 5.652225330471992715e-01 8.457014106214046922e-01 7.908253412693738715e-01
4.133378848433494346e-01 5.601037494838238123e-02 7.764497600495815499e-01 1.136075505614280612e+00 6.994474448263645616e-01
1.178156688809394864e-01 4.380875088274478746e-02 6.868991304188967195e-01 9.148394573479891045e-01 8.627953622490167618e-01
1.674795214086771122e-01 5.253171864897013266e-02 5.432811729609966500e-01 9.873565524816513284e-01 8.363459825515746626e-01
4.636746499687433021e-01 4.720997769385576470e-02 8.449410695582628694e-01 1.164853881672024638e+00 6.013180088251829369e-01
3.464417289942502975e-01 6.433469504117966808e-02 6.086955334991216438e-01 8.557162415236234665e-01 7.083151705563068834e-01
2.474040847271680998e-01 3.588551267981529569e-02 7.044961914420128091e-01 1.096492650359869092e+00 9.293413106352090836e-01
2.024324186146259363e-01 5.766551002860069441e-02 6.322619274258614031e-01 1.184261548519134344e+00 7.626500252634287325e-01
3.037180699408054130e-01 4.235843628644943293e-02 7.309921678155660851e-01 9.679976958781481011e-01 9.993013568222522958e-01
4.860861778259277788e-01 6.914133746176959194e-02 5.164446283131838289e-01 1.052622089907526926e+00 8.906746398657560126e-01
1.827632933855056763e-01 3.071658793836832060e-02 8.218155704438686593e-01 8.996356479823589547e-01 6.712722361087798406e-01
1.324143219739198907e-01 6.199568010866642748e-02 7.528862256556749788e-01 8.020719867199659348e-01 6.295881066471338272e-01
4.364345330744981988e-01 3.794104807078838015e-02 6.604060165584086928e-01 1.048795675486326129e+00 8.085612155497073905e-01
3.533697184175252914e-01 5.113996934145689788e-02 8.999718651175498962e-01 9.329317688941956010e-01 9.015564363449811713e-01
2.527813937515020482e-01 4.896277870982886082e-02 5.883508946746587309e-01 1.117934348061680794e+00 7.365851849317550659e-01
2.600002977997064590e-01 6.101950988173485135e-02 6.968262594193219694e-01 1.090961470082402185e+00 8.449459247291087882e-01
3.586539927870034949e-01 3.883879035711288591e-02 7.914552986621856689e-01 8.568296194076538974e-01 6.177180517464876397e-01
4.264688950031996217e-01 5.203635293990373917e-02 5.560272522270679474e-01 1.172606360167264938e+00 7.231645151972770913e-01
1.298768471926450840e-01 4.798795763403177622e-02 8.572970304638147798e-01 9.751832228153943793e-01 9.394919034093618393e-01
1.802137099206447823e-01 5.926562882959843237e-02 7.133127667009830919e-01 9.227123372256755829e-01 9.596974156796932443e-01
4.761328451335430367e-01 4.083735100924969219e-02 6.249336961656808409e-01 1.126372716948389918e+00 7.775501091033220069e-01
3.089900448918342368e-01 6.761890243738891138e-02 8.353922616690396818e-01 8.418564695864916292e-01 6.814721480011940447e-01
2.096634373068809731e-01 3.231806602329015399e-02 5.278725117444992287e-01 1.007227039337158292e+00 8.557707276195287704e-01
2.405725855380296818e-01 5.413090314716101359e-02 8.118396103382110596e-01 1.119605412334203631e+00 6.397379543632268906e-01
3.407761979848146217e-01 4.568799566477536878e-02 5.013902585953473601e-01 9.295284520834684594e-01 8.234113410115242448e-01
4.740337993949651496e-01 6.281132571399211662e-02 7.401386175304651704e-01 1.038750206306576773e+00 9.179572124034166558e-01
1.696174319833517186e-01 3.748609401285648429e-02 6.480485267937183824e-01 8.103821486234665805e-01 7.451843343675136344e-01
1.199656881392002217e-01 6.620758358389139397e-02 5.795831445604562315e-01 8.878064740449190806e-01 7.556246098130940947e-01
4.236847288906574471e-01 3.401223499327898220e-02 8.837825275957584825e-01 1.059935805201530412e+00 9.813268050551414712e-01
3.911252647638321367e-01 5.690704435110092996e-02 6.700036495923995528e-01 9.694505117833613905e-01 8.774002004414795941e-01
2.902243256568908802e-01 4.283425435423851568e-02 7.683437120169400725e-01 1.178290225192904384e+00 6.595467559993266615e-01
2.829284694045782200e-01 5.546841368079186152e-02 5.210315503180027452e-01 8.364615295082331592e-01 9.341196987777948824e-01
3.859171923249959946e-01 4.451680868864059393e-02 8.156602326780557632e-01 1.014429019391536624e+00 7.035352624952793121e-01
4.055044908076524957e-01 6.647549588233232776e-02 6.302142571657896042e-01 9.048166401684284432e-01 6.121497493237256782e-01
1.006498146802187049e-01 3.365621510893106183e-02 7.314836293458938377e-01 1.146075418218970299e+00 8.255096703767776933e-01
1.502152472734451516e-01 6.487663723528386273e-02 8.875542979687451872e-01 1.156126678735017732e+00 8.736391130834817442e-01
4.559381484985352007e-01 3.517747394740581429e-02 5.991756319999694824e-01 9.961066272109746489e-01 6.885991103947162184e-01
3.354835309088229911e-01 5.323967169970274249e-02 7.596399195492267165e-01 1.086982545629143759e+00 7.956161212176084963e-01
2.333630330860614888e-01 4.666794981807470544e-02 6.521205279976129976e-01 8.652523025870323403e-01 9.666298508644104448e-01
2.164191108196973912e-01 6.969314064830542388e-02 7.861206475645303726e-01 9.530204154551029649e-01 7.257534444332123247e-01
3.147321533411741035e-01 3.001837205141782636e-02 6.756716527044772658e-01 1.199261736497283071e+00 9.123927485197782516e-01
4.938766572624445628e-01 5.836379282176494543e-02 8.644379407167435136e-01 8.838756207376718965e-01 8.037828274071217027e-01
1.999720636755228098e-01 4.180670000612735776e-02 5.723482560366391914e-01 1.068408037722110793e+00 6.343680147081612875e-01
1.495261982083320729e-01 5.058818522840738408e-02 6.037302851676941140e-01 1.033305681124329523e+00 6.664814561605453269e-01
4.443234309554100481e-01 4.966097552329301612e-02 7.079292636364697966e-01 8.175360217690468279e-01 8.954669516533613205e-01
3.642853818833827750e-01 6.129741638898850153e-02 5.441446635872125848e-01 1.101661644130945250e+00 9.884576059877872023e-01
2.668649785220623127e-01 3.849276527762413025e-02 8.424843676388263924e-01 9.491816040128469023e-01 7.734983596950769646e-01
2.632892817258835061e-01 6.790997598320246131e-02 5.317843575030565262e-01 1.195237786695360960e+00 6.132290940731763840e-01
3.678649127483367698e-01 3.195835221558809142e-02 8.299287430942059451e-01 9.540654622018337472e-01 8.498193770647048950e-01
4.470187164843082428e-01 5.891705811023712630e-02 6.163333520293236001e-01 1.063593712449073747e+00 9.412583086639643160e-01
1.468271203339099884e-01 4.109775856137275890e-02 7.203370239585638046e-01 8.857110548764467461e-01 7.217948593199252638e-01
1.963933195918798613e-01 5.239572402089834324e-02 8.518228247761726601e-01 8.129749923944473711e-01 7.789083432406187502e-01
4.974531408399344157e-01 4.769654136151076085e-02 5.599284227937459946e-01 1.034594850614666939e+00 9.579424738883972612e-01
3.174304921180010064e-01 6.075875841081142953e-02 7.984932947903871092e-01 9.438301395624876244e-01 8.508842770010232037e-01
2.137230861932039316e-01 3.918701715767383686e-02 6.882396422326564345e-01 1.103741236776113466e+00 6.859740503132343292e-01
2.360369578003883584e-01 5.725218601524829920e-02 7.722427956759929657e-01 1.016069132089614913e+00 8.216441698372364266e-01
3.328119203448295371e-01 4.257743678987026270e-02 6.645280975848436578e-01 8.314518887549638970e-01 6.411083701997994932e-01
4.523838184773921745e-01 6.592283826321364282e-02 8.751938011497260028e-01 1.146925155445933431e+00 7.496740520000457764e-01
1.537673167884349990e-01 3.436576481908559799e-02 5.866198167204856873e-01 9.005973868072033595e-01 9.130829941481352074e-01
1.033206861466169357e-01 6.306848600506782809e-02 6.425867136567831039e-01 9.983815353363751921e-01 9.862124897539615853e-01
4.028298269957304445e-01 3.714129507541656661e-02 7.440514281392097695e-01 1.150970535725355237e+00 7.511234674602746964e-01
3.823659095913172212e-01 5.377771724015474597e-02 5.084162436425685438e-01 8.667367756366730625e-01 6.581892818212509155e-01
2.864835862070321815e-01 4.597308490425348892e-02 8.032402087002992186e-01 1.082616825774312064e+00 8.791543763130902356e-01
2.936775706708431022e-01 5.357825253158808587e-02 6.575820937752723250e-01 9.274488862603902373e-01 7.021648213267326355e-01
3.876681856811047266e-01 4.639755237847566910e-02 7.557268854230643207e-01 1.124956849962472916e+00 9.358868476003407988e-01
4.209165826439857927e-01 6.459509551525116633e-02 5.921494234353303909e-01 8.090929582715035151e-01 8.303839139640331046e-01
1.227376267313957242e-01 3.554671958088874428e-02 8.961534522473812991e-01 1.043311256542801768e+00 6.076600540429353270e-01
1.730737242847681101e-01 6.674562688916921283e-02 7.275843221694231477e-01 1.058100350201129913e+00 6.931002750992775185e-01
4.705797675997018814e-01 3.331736784428358106e-02 6.356895618140697701e-01 8.926208201795816644e-01 8.687534537166357040e-01
3.380049984902143700e-01 5.509890042245388364e-02 8.242487117648125139e-01 1.177245205268263817e+00 9.648756526410580125e-01
2.433414708822965733e-01 4.479808278381824937e-02 5.139946546405553818e-01 9.734744347631931749e-01 7.969735700637101683e-01
2.068678237497806605e-01 6.157277293503284760e-02 8.479587312787770781e-01 8.611953660845756975e-01 9.075192708522081819e-01
3.117833442986011616e-01 3.812984667718410936e-02 5.402436271309852822e-01 1.089476970210671469e+00 7.302423797547816786e-01
4.796135514974594338e-01 5.025319557636976492e-02 7.008914016187191010e-01 9.803393449634313361e-01 6.357376959174870779e-01
1.767352640628814808e-01 4.992794509977102613e-02 6.123170603066683260e-01 1.170331472903490155e+00 8.020164445042610168e-01
1.270842868834733963e-01 5.872697785496712453e-02 5.684365443885326385e-01 1.130591949447989464e+00 8.972219157963990943e-01
4.292652476578950882e-01 4.153160989284515603e-02 8.699016172438860384e-01 9.218626208603382111e-01 6.651232473552226576e-01
3.621316518634557502e-01 6.942643869668246870e-02 6.842721547931432946e-01 1.012236706912517548e+00 7.689964350312947783e-01
2.565188046544790712e-01 3.035362932831048993e-02 7.790965244174004045e-01 8.402163300663233469e-01 9.933440312743186951e-01
2.555529717355966568e-01 5.962502069771290214e-02 8.873795986175536665e-01 9.639676723629235777e-01 6.751255311071873155e-01
3.506004486232996431e-01 4.055574022233486564e-02 5.759539823979139550e-01 1.185312680900096893e+00 8.617282245308159894e-01
4.329778563231230226e-01 6.845192771404981502e-02 7.653306219726800919e-01 8.948273964226246546e-01 9.531503587961196455e-01
1.358687322586774882e-01 3.125032301992177602e-02 6.730456836521625519e-01 1.054451438412070230e+00 7.836989384144544823e-01
1.855318240821361708e-01 6.005077674984932168e-02 5.040125910192727599e-01 1.044228512793779373e+00 7.170147545635700004e-01
4.833138607442378776e-01 3.972905457019806214e-02 8.091882385313511339e-01 8.033672776073217392e-01 9.460368815809487852e-01
3.002644464373588340e-01 5.185375321656465752e-02 6.448421150445937666e-01 1.112589016929268926e+00 8.389832496643065962e-01
2.058898821473121865e-01 4.840458963066339437e-02 7.433770250529050383e-01 9.350052401423454285e-01 6.240606378763914330e-01
